customer_id,recency,T,cohort
1,1,13,regular
2,1,13,regular
3,1,13,regular
4,1,13,regular
5,1,13,regular
6,1,13,regular
7,1,13,regular
8,1,13,regular
9,1,13,regular
10,1,13,regular
11,1,13,regular
12,1,13,regular
13,1,13,regular
14,1,13,regular
15,1,13,regular
16,1,13,regular
17,1,13,regular
18,1,13,regular
19,1,13,regular
20,1,13,regular
21,1,13,regular
22,1,13,regular
23,1,13,regular
24,1,13,regular
25,1,13,regular
26,1,13,regular
27,1,13,regular
28,1,13,regular
29,1,13,regular
30,1,13,regular
31,1,13,regular
32,1,13,regular
33,1,13,regular
34,1,13,regular
35,1,13,regular
36,1,13,regular
37,1,13,regular
38,1,13,regular
39,1,13,regular
40,1,13,regular
41,1,13,regular
42,1,13,regular
43,1,13,regular
44,1,13,regular
45,1,13,regular
46,1,13,regular
47,1,13,regular
48,1,13,regular
49,1,13,regular
50,1,13,regular
51,1,13,regular
52,1,13,regular
53,1,13,regular
54,1,13,regular
55,1,13,regular
56,1,13,regular
57,1,13,regular
58,1,13,regular
59,1,13,regular
60,1,13,regular
61,1,13,regular
62,1,13,regular
63,1,13,regular
64,1,13,regular
65,1,13,regular
66,1,13,regular
67,1,13,regular
68,1,13,regular
69,1,13,regular
70,1,13,regular
71,1,13,regular
72,1,13,regular
73,1,13,regular
74,1,13,regular
75,1,13,regular
76,1,13,regular
77,1,13,regular
78,1,13,regular
79,1,13,regular
80,1,13,regular
81,1,13,regular
82,1,13,regular
83,1,13,regular
84,1,13,regular
85,1,13,regular
86,1,13,regular
87,1,13,regular
88,1,13,regular
89,1,13,regular
90,1,13,regular
91,1,13,regular
92,1,13,regular
93,1,13,regular
94,1,13,regular
95,1,13,regular
96,1,13,regular
97,1,13,regular
98,1,13,regular
99,1,13,regular
100,1,13,regular
101,1,13,regular
102,1,13,regular
103,1,13,regular
104,1,13,regular
105,1,13,regular
106,1,13,regular
107,1,13,regular
108,1,13,regular
109,1,13,regular
110,1,13,regular
111,1,13,regular
112,1,13,regular
113,1,13,regular
114,1,13,regular
115,1,13,regular
116,1,13,regular
117,1,13,regular
118,1,13,regular
119,1,13,regular
120,1,13,regular
121,1,13,regular
122,1,13,regular
123,1,13,regular
124,1,13,regular
125,1,13,regular
126,1,13,regular
127,1,13,regular
128,1,13,regular
129,1,13,regular
130,1,13,regular
131,1,13,regular
132,1,13,regular
133,1,13,regular
134,1,13,regular
135,1,13,regular
136,1,13,regular
137,1,13,regular
138,1,13,regular
139,1,13,regular
140,1,13,regular
141,1,13,regular
142,1,13,regular
143,1,13,regular
144,1,13,regular
145,1,13,regular
146,1,13,regular
147,1,13,regular
148,1,13,regular
149,1,13,regular
150,1,13,regular
151,1,13,regular
152,1,13,regular
153,1,13,regular
154,1,13,regular
155,1,13,regular
156,1,13,regular
157,1,13,regular
158,1,13,regular
159,1,13,regular
160,1,13,regular
161,1,13,regular
162,1,13,regular
163,1,13,regular
164,1,13,regular
165,1,13,regular
166,1,13,regular
167,1,13,regular
168,1,13,regular
169,1,13,regular
170,1,13,regular
171,1,13,regular
172,1,13,regular
173,1,13,regular
174,1,13,regular
175,1,13,regular
176,1,13,regular
177,1,13,regular
178,1,13,regular
179,1,13,regular
180,1,13,regular
181,1,13,regular
182,1,13,regular
183,1,13,regular
184,1,13,regular
185,1,13,regular
186,1,13,regular
187,1,13,regular
188,1,13,regular
189,1,13,regular
190,1,13,regular
191,1,13,regular
192,1,13,regular
193,1,13,regular
194,1,13,regular
195,1,13,regular
196,1,13,regular
197,1,13,regular
198,1,13,regular
199,1,13,regular
200,1,13,regular
201,1,13,regular
202,1,13,regular
203,1,13,regular
204,1,13,regular
205,1,13,regular
206,1,13,regular
207,1,13,regular
208,1,13,regular
209,1,13,regular
210,1,13,regular
211,1,13,regular
212,1,13,regular
213,1,13,regular
214,1,13,regular
215,1,13,regular
216,1,13,regular
217,1,13,regular
218,1,13,regular
219,1,13,regular
220,1,13,regular
221,1,13,regular
222,1,13,regular
223,1,13,regular
224,1,13,regular
225,1,13,regular
226,1,13,regular
227,1,13,regular
228,1,13,regular
229,1,13,regular
230,1,13,regular
231,1,13,regular
232,1,13,regular
233,1,13,regular
234,1,13,regular
235,1,13,regular
236,1,13,regular
237,1,13,regular
238,1,13,regular
239,1,13,regular
240,1,13,regular
241,1,13,regular
242,1,13,regular
243,1,13,regular
244,1,13,regular
245,1,13,regular
246,1,13,regular
247,1,13,regular
248,1,13,regular
249,1,13,regular
250,1,13,regular
251,1,13,regular
252,1,13,regular
253,1,13,regular
254,1,13,regular
255,1,13,regular
256,1,13,regular
257,1,13,regular
258,1,13,regular
259,1,13,regular
260,1,13,regular
261,1,13,regular
262,1,13,regular
263,1,13,regular
264,1,13,regular
265,1,13,regular
266,1,13,regular
267,1,13,regular
268,1,13,regular
269,1,13,regular
270,1,13,regular
271,1,13,regular
272,1,13,regular
273,1,13,regular
274,1,13,regular
275,1,13,regular
276,1,13,regular
277,1,13,regular
278,1,13,regular
279,1,13,regular
280,1,13,regular
281,1,13,regular
282,1,13,regular
283,1,13,regular
284,1,13,regular
285,1,13,regular
286,1,13,regular
287,1,13,regular
288,1,13,regular
289,1,13,regular
290,1,13,regular
291,1,13,regular
292,1,13,regular
293,1,13,regular
294,1,13,regular
295,1,13,regular
296,1,13,regular
297,1,13,regular
