date,social,search,trend,y
2025-01-01,106.22,309.5059514727613,0.0,11583.77356232033
2025-01-02,276.54,222.20807360089626,0.008403361344537815,10904.142701085955
2025-01-03,333.59000000000003,248.60602956974196,0.01680672268907563,10874.67121731985
2025-01-04,439.0799999999999,285.62815883210385,0.025210084033613446,11143.305118926271
2025-01-05,390.78000000000003,270.9880620945278,0.03361344537815126,10956.840056535604
2025-01-06,603.77,232.74347611251864,0.04201680672268907,11007.97217152599
2025-01-07,602.21,235.4761896368531,0.05042016806722689,11808.40455579005
2025-01-08,615.71,244.92057807321018,0.058823529411764705,11914.489829370992
2025-01-09,660.3499999999999,250.55244511412457,0.06722689075630252,12258.415555956806
2025-01-10,569.84,236.0298697101459,0.07563025210084033,12028.978013099311
2025-01-11,457.31,250.20336252567867,0.08403361344537814,11533.905186454762
2025-01-12,596.6999999999999,287.92219100253726,0.09243697478991596,12392.168732600967
2025-01-13,731.3,347.9180088104375,0.10084033613445378,13192.003894215492
2025-01-14,652.5,293.63243725969755,0.1092436974789916,14084.119834955387
2025-01-15,699.04,346.22795016693556,0.11764705882352941,13210.774535565259
2025-01-16,666.6999999999999,372.8849624369368,0.12605042016806722,13614.067873766178
2025-01-17,605.13,258.0864283093824,0.13445378151260504,13346.995614198035
2025-01-18,563.11,306.70769232176104,0.14285714285714285,13585.511418572954
2025-01-19,439.87,221.0431682999237,0.15126050420168066,12653.156595112598
2025-01-20,590.9300000000001,232.79245865971762,0.15966386554621848,12656.640177074572
2025-01-21,660.6099999999999,223.28490691220054,0.1680672268907563,12774.586776786133
2025-01-22,685.1400000000001,242.35670841473558,0.1764705882352941,13413.307391064329
2025-01-23,592.4,230.92032619165647,0.18487394957983191,12290.796706948853
2025-01-24,564.1400000000001,216.05989286459604,0.19327731092436973,12595.675730688414
2025-01-25,484.66,338.47367809636495,0.20168067226890757,12380.44222857578
2025-01-26,598.26,225.84180160455907,0.21008403361344538,13056.653874060576
2025-01-27,671.67,278.80043175278706,0.2184873949579832,12744.791994644767
2025-01-28,760.1300000000001,237.48166270355316,0.226890756302521,12824.898684984724
2025-01-29,849.5,250.58963153494994,0.23529411764705882,13621.352474785625
2025-01-30,926.2199999999999,206.06502951779652,0.24369747899159663,13234.75855452456
2025-01-31,839.3200000000002,157.30513613796654,0.25210084033613445,13740.568402681696
2025-02-01,833.3,205.8631154332172,0.26050420168067223,13371.716331958432
2025-02-02,829.81,335.07933724942257,0.2689075630252101,13690.472158420911
2025-02-03,904.71,240.3901602652776,0.2773109243697479,13365.13978866794
2025-02-04,1098.97,222.92424709494182,0.2857142857142857,13852.793434262807
2025-02-05,1110.07,239.12838810290978,0.29411764705882354,13539.003870807031
2025-02-06,919.4799999999999,168.04451155851544,0.3025210084033613,14235.748328354477
2025-02-07,949.5000000000001,259.81594707866174,0.31092436974789917,13265.838835416498
2025-02-08,947.48,228.336144151003,0.31932773109243695,13184.713323457281
2025-02-09,723.1999999999999,170.66311368212953,0.3277310924369748,13609.760406309246
2025-02-10,1066.27,256.4940111039999,0.3361344537815126,13620.219132150414
2025-02-11,843.23,268.3078401091044,0.3445378151260504,13533.610014457632
2025-02-12,896.49,255.11167463009673,0.3529411764705882,13645.352809592338
2025-02-13,823.26,314.3953731069883,0.36134453781512604,13761.235424255705
2025-02-14,760.75,225.58110016897157,0.36974789915966383,13236.007115320417
2025-02-15,704.13,270.78324807836765,0.37815126050420167,13164.838287842978
2025-02-16,721.2700000000001,226.68863364265042,0.38655462184873945,14451.109954506896
2025-02-17,1045.29,516.6307690745667,0.3949579831932773,15128.580819947478
2025-02-18,1128.3899999999999,263.06170706764397,0.40336134453781514,15355.044760215831
2025-02-19,1166.44,226.37098633164118,0.4117647058823529,16037.93113751529
2025-02-20,1050.79,223.1021041359669,0.42016806722689076,14821.845588748107
2025-02-21,1062.6,260.6215073241923,0.42857142857142855,15367.967804876125
