,date,y,x1,x2,event_1,event_2,dayofyear,t,geo
0,2018-04-02,3984.662237343649,159.2900089679743,0.0,0.0,0.0,92,0,geo_a
1,2018-04-09,3762.8717941170457,56.19423822102995,0.0,0.0,0.0,99,1,geo_a
2,2018-04-16,4466.967388435149,146.20013314346565,0.0,0.0,0.0,106,2,geo_a
3,2018-04-23,3864.219372661741,35.69927628754205,0.0,0.0,0.0,113,3,geo_a
4,2018-04-30,4441.625277747415,193.37257679734884,0.0,0.0,0.0,120,4,geo_a
5,2018-05-07,3677.396550177613,23.58549306196675,0.0,0.0,0.0,127,5,geo_a
6,2018-05-14,5067.546336868544,212.12455242281388,0.0,0.0,0.0,134,6,geo_a
7,2018-05-21,6079.099042190235,166.9600872621017,439.8909175596109,0.0,0.0,141,7,geo_a
8,2018-05-28,4954.205368585605,126.5351423658648,0.0,0.0,0.0,148,8,geo_a
9,2018-06-04,5865.6765762742925,469.02720789614824,0.0,0.0,0.0,155,9,geo_a
10,2018-06-11,5096.6330505085725,212.60253639703114,0.0,0.0,0.0,162,10,geo_a
11,2018-06-18,4991.542283144343,181.57148853911758,0.0,0.0,0.0,169,11,geo_a
12,2018-06-25,4688.584844704346,220.74734814735154,0.0,0.0,0.0,176,12,geo_a
13,2018-07-02,6536.34574051577,211.5558132420512,482.0934398824444,0.0,0.0,183,13,geo_a
14,2018-07-09,5030.983585083329,164.19612461033057,0.0,0.0,0.0,190,14,geo_a
15,2018-07-16,4638.6908347231165,460.9701513190591,0.0,0.0,0.0,197,15,geo_a
16,2018-07-23,4209.545798370782,154.0077561335224,0.0,0.0,0.0,204,16,geo_a
17,2018-07-30,4876.008389071623,454.7426130803171,0.0,0.0,0.0,211,17,geo_a
18,2018-08-06,3906.1716890025896,125.34932364952381,0.0,0.0,0.0,218,18,geo_a
19,2018-08-13,3549.8621224301837,118.2366363004046,0.0,0.0,0.0,225,19,geo_a
20,2018-08-20,4025.433955372593,201.56896609863756,0.0,0.0,0.0,232,20,geo_a
21,2018-08-27,3223.306333206948,73.5888595330488,0.0,0.0,0.0,239,21,geo_a
22,2018-09-03,4079.652958724021,181.5205071474371,0.0,0.0,0.0,246,22,geo_a
23,2018-09-10,4156.435573364624,73.53324518363385,0.0,0.0,0.0,253,23,geo_a
24,2018-09-17,3666.877226701928,47.3352155565484,0.0,0.0,0.0,260,24,geo_a
25,2018-09-24,3853.549205981304,129.62265228573693,0.0,0.0,0.0,267,25,geo_a
26,2018-10-01,3531.4719178669834,28.7419124404583,0.0,0.0,0.0,274,26,geo_a
27,2018-10-08,3538.882474497524,10.3232663953152,0.0,0.0,0.0,281,27,geo_a
28,2018-10-15,4261.174491772023,82.81802449248191,0.0,0.0,0.0,288,28,geo_a
29,2018-10-22,4604.517233770198,107.0035707497749,0.0,0.0,0.0,295,29,geo_a
30,2018-10-29,6484.976246026463,180.25884598922931,400.3115827982153,0.0,0.0,302,30,geo_a
31,2018-11-05,5090.872437599736,61.184277906651296,0.0,0.0,0.0,309,31,geo_a
32,2018-11-12,6500.44070674565,479.3419764644961,0.0,0.0,0.0,316,32,geo_a
33,2018-11-19,6434.702003197417,160.98617199374524,0.0,0.0,0.0,323,33,geo_a
34,2018-11-26,7288.09549866718,126.61702756859431,426.7634517492701,0.0,0.0,330,34,geo_a
35,2018-12-03,5249.095623076754,32.0059898038249,0.0,0.0,0.0,337,35,geo_a
36,2018-12-10,4284.737104057953,11.82765997788875,0.0,0.0,0.0,344,36,geo_a
37,2018-12-17,5924.49679469673,91.5822847201161,494.29855998171803,0.0,0.0,351,37,geo_a
38,2018-12-24,7770.898864334025,462.65112228269203,435.2375529706887,0.0,0.0,358,38,geo_a
39,2018-12-31,6600.779460454854,498.32906453087776,0.0,0.0,0.0,365,39,geo_a
40,2019-01-07,6003.922922839964,200.8448170906755,0.0,0.0,0.0,7,40,geo_a
41,2019-01-14,5660.6533288409655,86.87273027971031,0.0,0.0,0.0,14,41,geo_a
42,2019-01-21,5872.741931712915,477.6863223490982,0.0,0.0,0.0,21,42,geo_a
43,2019-01-28,6093.701781337998,177.94470933250327,0.0,0.0,0.0,28,43,geo_a
44,2019-02-04,3994.215758636757,0.46459066744655,0.0,0.0,0.0,35,44,geo_a
45,2019-02-11,4817.419326611659,218.90783360236225,0.0,0.0,0.0,42,45,geo_a
46,2019-02-18,7795.097809495298,486.9881577783628,487.43310107174,0.0,0.0,49,46,geo_a
47,2019-02-25,6447.2216669325935,488.9519726023114,0.0,0.0,0.0,56,47,geo_a
48,2019-03-04,5540.679227096547,124.07085187590864,0.0,0.0,0.0,63,48,geo_a
49,2019-03-11,4949.832359251136,202.81020464616756,0.0,0.0,0.0,70,49,geo_a
50,2019-03-18,6379.898688795682,124.52048157200095,451.2864348561886,0.0,0.0,77,50,geo_a
51,2019-03-25,4764.017185991239,26.526242188220703,0.0,0.0,0.0,84,51,geo_a
52,2019-04-01,4207.851401732056,33.160860329417346,0.0,0.0,0.0,91,52,geo_a
53,2019-04-08,4412.820266564049,45.96573455927085,0.0,0.0,0.0,98,53,geo_a
54,2019-04-15,4346.995203279954,142.32628234135595,0.0,0.0,0.0,105,54,geo_a
55,2019-04-22,6626.698312677127,186.9226632716861,497.187155826306,0.0,0.0,112,55,geo_a
