date,dayofyear,quarter,trend,cs,cc,seasonality,z,x1,x2,epsilon,x1_adstock,x2_adstock,x1_adstock_saturated,x2_adstock_saturated,x1_effect,x2_effect,y,y01,y02
2021-10-02,275,2021Q4,1.1544346900318838,0.03654700988811993,0.018276557681691223,0.016447070270943345,0.0536931689208572,0.6465536753530698,0.3361875974864426,-0.01047644783546034,0.45628346884479165,0.17930005199276938,0.22426428437478593,0.22044621243163687,0.44852856874957187,0.3306693186474553,199.32963687852512,154.47678000356794,166.2627050137796
2021-10-09,282,2021Q4,1.1817089106114174,0.2738454748405547,0.13825031091098192,0.12362873572546097,1.0452428198639796,1.4119166234502867,0.20393103600169624,-0.028577795277266983,1.1332976189528634,0.19841324519728937,0.5128938989062704,0.24305329234109183,1.0257877978125407,0.3645799385116377,371.237040724777,268.6582609435229,334.7790468736132
2021-10-16,289,2021Q4,1.2083177392684985,0.49533725523256594,0.2562218218071163,0.22546772311190466,0.17970258902172345,0.837610371189355,0.024025993768313988,0.030797635015334397,0.9311045793974716,0.11202048594174548,0.4345986539263304,0.1391175597967474,0.8691973078526608,0.2086763396951211,272.21593339652424,185.2962026112582,251.34829942701217
2021-10-23,296,2021Q4,1.2343003316067325,0.6882375836422284,0.3704825404820963,0.3176160372372974,0.14049554171138512,0.9736124879061,0.12025741894126316,0.09740459053906225,0.9664255784107022,0.12014753307287973,0.4488129335010526,0.14906535709973576,0.8976258670021052,0.22359803564960362,291.1040403746186,201.3414536744081,268.7442368096582
2021-10-30,303,2021Q4,1.259692281860326,0.8414120250581577,0.4793776594606945,0.39623690535565564,0.8691550468673631,1.4159853483152163,0.08462973042718276,0.028347348071773498,1.2855157211907169,0.0940033695147226,0.5667744227571746,0.11696637914829519,1.1335488455143492,0.17544956872244277,386.242999639191,272.8881150877561,368.6980427669467
2021-11-06,310,2021Q4,1.2845260536482033,0.9460191696320084,0.5813300798152042,0.4582047748341638,0.07896498063100685,0.8767930779747236,1.7954257011904133,0.1759284147936717,0.9963509431213478,0.9977643575255252,0.4606810517522574,0.8474981456986495,0.9213621035045148,1.2712472185479742,419.0233545959534,326.887144245502,291.89863274115606
2021-11-13,317,2021Q4,1.3088313465286388,0.9960209693076331,0.6748632518680403,0.501265266352702,0.04186986743568301,0.9907536324029886,0.06839240282924941,0.058865147014754864,0.9933082387559914,0.5345572604794185,0.4594817319993775,0.5837923414193995,0.918963463998755,0.8756885121290993,370.5483603459633,278.6520139460878,282.97950913305334
2021-11-20,324,2021Q4,1.3326354096146389,0.9885312610933433,0.75862255966641,0.524146146227926,0.11544562367855207,0.9347109992379619,0.10270002828860955,0.006002535852532494,0.9520677984340821,0.31804339802892556,0.4430616775890687,0.3778543393108343,0.8861233551781375,0.5667815089662515,343.11345795180387,254.5011224339901,286.4353070551787
2021-11-27,331,2021Q4,1.3559633112563296,0.9239823598019431,0.8313949395234058,0.5266131897976046,0.11828089660983887,0.9379365766619341,0.1325608147766077,-0.02651213657431231,0.9394432720218131,0.2268998092144141,0.4379743744859831,0.2762565500493783,0.8759487489719662,0.4143848250740675,326.46788351354945,238.87300861635282,285.02940100614273
2021-12-04,338,2021Q4,1.378838172046419,0.8061001043286311,0.8921264484954345,0.5094679658472197,0.13066657748536645,1.0586245593961292,0.13402458337733536,0.18778863027045634,1.0239095768532158,0.12508215903543882,0.47146687547098753,0.1550909605267419,0.9429337509419751,0.23263644079011286,338.2331537381549,243.93977864395742,314.9695096591437
