customer_id,recency,T,cohorts
1,1,5,2001
2,1,5,2001
3,1,5,2001
4,1,5,2001
5,1,5,2001
6,1,5,2001
7,1,5,2001
8,1,5,2001
9,1,5,2001
10,1,5,2001
11,1,5,2001
12,1,5,2001
13,1,5,2001
14,1,5,2001
15,1,5,2001
16,1,5,2001
17,1,5,2001
18,1,5,2001
19,1,5,2001
20,1,5,2001
21,1,5,2001
22,1,5,2001
23,1,5,2001
24,1,5,2001
25,1,5,2001
26,1,5,2001
27,1,5,2001
28,1,5,2001
29,1,5,2001
30,1,5,2001
31,1,5,2001
32,1,5,2001
33,1,5,2001
34,1,5,2001
35,1,5,2001
36,1,5,2001
37,1,5,2001
38,1,5,2001
39,1,5,2001
40,1,5,2001
41,1,5,2001
42,1,5,2001
43,1,5,2001
44,1,5,2001
45,1,5,2001
46,1,5,2001
47,1,5,2001
48,1,5,2001
49,1,5,2001
50,1,5,2001
51,1,5,2001
52,1,5,2001
53,1,5,2001
54,1,5,2001
55,1,5,2001
56,1,5,2001
57,1,5,2001
58,1,5,2001
59,1,5,2001
60,1,5,2001
61,1,5,2001
62,1,5,2001
63,1,5,2001
64,1,5,2001
65,1,5,2001
66,1,5,2001
67,1,5,2001
68,1,5,2001
69,1,5,2001
70,1,5,2001
71,1,5,2001
72,1,5,2001
73,1,5,2001
74,1,5,2001
75,1,5,2001
76,1,5,2001
77,1,5,2001
78,1,5,2001
79,1,5,2001
80,1,5,2001
81,1,5,2001
82,1,5,2001
83,1,5,2001
84,1,5,2001
85,1,5,2001
86,1,5,2001
87,1,5,2001
88,1,5,2001
89,1,5,2001
90,1,5,2001
91,1,5,2001
92,1,5,2001
93,1,5,2001
94,1,5,2001
95,1,5,2001
96,1,5,2001
97,1,5,2001
98,1,5,2001
99,1,5,2001
100,1,5,2001
101,1,5,2001
102,1,5,2001
103,1,5,2001
104,1,5,2001
105,1,5,2001
106,1,5,2001
107,1,5,2001
108,1,5,2001
109,1,5,2001
110,1,5,2001
111,1,5,2001
112,1,5,2001
113,1,5,2001
114,1,5,2001
115,1,5,2001
116,1,5,2001
117,1,5,2001
118,1,5,2001
119,1,5,2001
120,1,5,2001
121,1,5,2001
122,1,5,2001
123,1,5,2001
124,1,5,2001
125,1,5,2001
126,1,5,2001
127,1,5,2001
128,1,5,2001
129,1,5,2001
130,1,5,2001
131,1,5,2001
132,1,5,2001
133,1,5,2001
134,1,5,2001
135,1,5,2001
136,1,5,2001
137,1,5,2001
138,1,5,2001
139,1,5,2001
140,1,5,2001
141,1,5,2001
142,1,5,2001
143,1,5,2001
144,1,5,2001
145,1,5,2001
146,1,5,2001
147,1,5,2001
148,1,5,2001
149,1,5,2001
