date,geo,x1,x2,event_1,event_2,y
2022-06-06,geo_a,5527.640078344419,0.0,0,0,2647.5963552132916
2022-06-06,geo_b,8849.257500232263,8063.918385910292,0,0,682.4062800764611
2022-06-13,geo_a,6692.65569170821,0.0,0,0,5020.823907258938
2022-06-13,geo_b,9073.817993786679,9354.01458487539,0,0,3753.10489692786
2022-06-20,geo_a,7124.016733043478,0.0,0,0,6184.322132435095
2022-06-20,geo_b,7867.854557804367,5608.112520812873,0,0,3329.27995298674
2022-06-27,geo_a,7725.169901979232,0.0,0,0,5446.374631189499
2022-06-27,geo_b,9712.332359141208,11760.981800372854,0,0,7544.19218772877
2022-07-04,geo_a,8545.792935448057,0.0,0,0,10058.970813696422
2022-07-04,geo_b,6747.8843697462635,6774.114961000093,0,0,2359.259385096635
2022-07-11,geo_a,4163.327718660046,0.0,0,0,9012.54296337361
2022-07-11,geo_b,4704.243293516047,0.0,0,0,1751.2495015391942
2022-07-18,geo_a,4402.46256146619,0.0,0,0,5279.071079797145
2022-07-18,geo_b,6692.6390853306875,0.0,0,0,4935.24310745893
2022-07-25,geo_a,5131.455277414367,0.0,0,0,8126.444192724619
2022-07-25,geo_b,7052.102731275367,0.0,0,0,8927.669578538256
2022-08-01,geo_a,5324.033292250826,0.0,0,0,7616.37379220119
2022-08-01,geo_b,4751.904478683533,0.0,0,0,4885.755900585387
2022-08-08,geo_a,3291.2993646159575,0.0,0,0,8716.378472409411
2022-08-08,geo_b,5603.684837220778,0.0,0,0,6734.681930893299
2022-08-15,geo_a,2340.2775497977345,0.0,0,0,8451.250776247012
2022-08-15,geo_b,3839.60459851721,0.0,0,0,8039.762848432854
2022-08-22,geo_a,3291.0102693873887,0.0,0,0,8534.217958776786
2022-08-22,geo_b,1711.434202522758,0.0,0,0,4359.740290753299
2022-08-29,geo_a,3407.5202469633623,0.0,0,0,6091.115784643378
2022-08-29,geo_b,3169.6141044025208,0.0,0,0,5101.842589633381
2022-09-05,geo_a,5394.365911780652,0.0,0,0,5751.836188744454
2022-09-05,geo_b,5253.971311088555,0.0,0,0,8143.892092922072
2022-09-12,geo_a,865.2697728907597,0.0,0,0,5392.45349796673
2022-09-12,geo_b,5762.820087231416,0.0,0,0,3625.6635999428177
2022-09-19,geo_a,9.230471631441105,0.0,0,0,7168.834398186466
2022-09-19,geo_b,5649.567107907853,0.0,0,0,5959.917256226297
