,HMI Audio,HMI Digital Video,HMI Display,HMI Linear,HMI OOH,Influencer,MACS App,MACS Programmatic,MACS Social,OO Display,OO Linear,OO Video,Paid Search,Partnerships,Podcast One Audio,event_anomaly_12_17_23,event_anomaly_12_20_2023,event_anomaly_12_21_2023,event_anomaly_3_12_2024,event_anomaly_3_13_2024,event_anomaly_3_14_2024,event_anomaly_3_15_2024,event_anomaly_3_24_23,event_anomaly_3_25_23,event_anomaly_3_26_23,event_anomaly_3_27_23,event_anomaly_3_28_23,event_blk_fri_2023,event_blk_fri_2024,event_day_after_superbowl_2023,event_day_after_superbowl_2024,event_day_b4_nye_2023,event_day_b4_xmas_eve_2023,event_ind_2023,event_ind_2024,event_juneteenth_2023,event_juneteenth_2024,event_lab_2023,event_lab_2024,event_mem_2023,event_mem_2024,event_mlk_2023,event_mlk_2024,event_ny23_2023,event_ny24_2024,event_nye_2023,event_nye_2024,event_pres_2023,event_pres_2024,event_superbowl_2023,event_superbowl_2024,event_thanks_2023,event_thanks_2024,event_xmas_2023,event_xmas_2024,event_xmas_day_after_2023,event_xmas_eve_2023,event_xmas_eve_2024,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,t,intercept,fold,n,month,day_dt
0,9057.932562031026,1.116785998083892,2.9332698105608164,0.0,6425.834419126228,0.0,22666.65204977166,2.1439718407840873,676.1234962219773,0.0,15132.955417195422,6181.458536644537,2366.369894445946,20411.91357136555,4545.74439521701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-266.0405514500332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37071.77689515955,0.0,150053.67588837733,1,365,2024-01,2023-01-01
1,8825.146724527394,0.28272779297457634,1.3317034047761032,0.0,1715.4308446835284,0.0,22105.251420212815,0.5211340937515221,930.2894717742371,0.0,6459.224733509396,6433.736393898362,2117.4693630655674,34450.2517711091,1137.633687192563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2660.6627712296213,0.0,0.0,0.0,0.0,0.0,0.0,95.66478883638001,150239.55302847334,1,365,2024-01,2023-01-02
2,7368.407179538088,0.11339062382643102,1.0357546010444292,0.0,561.652239100653,0.0,18261.66812844151,0.22468647655587273,689.1630545485647,0.0,3531.829004813046,4598.209387926696,1623.8720048267778,27600.824140504603,421.6204238439773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11986.990392933558,0.0,0.0,0.0,0.0,0.0,191.32957767276002,150075.70364342068,1,365,2024-01,2023-01-03
3,5652.4024179739,0.08095254854029767,0.4047489825661412,0.0,206.56941146266135,0.0,12609.751956315096,1012.1082812795636,537.2227582487575,16975.766660897116,2783.4706795104735,2973.267888009417,1143.1546350133926,16666.124991947137,196.5970042559727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13821.652368955085,0.0,0.0,0.0,0.0,286.9943665091398,149602.97679882695,1,365,2024-01,2023-01-04
4,4308.596764669088,0.022466718816716427,0.18724433361592388,0.0,84.54476848030592,0.0,10520.758621633966,913.6888010769834,416.967543927247,16799.9967390304,2708.351086400364,2045.417742900277,997.1539605298997,11771.175608704878,110.65143592683984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13899.43098314147,0.0,0.0,0.0,382.65915534552005,148955.26808631158,1,365,2024-01,2023-01-05
5,3551.638163310426,0.010859067434984361,0.09581160302729438,0.0,40.25807498517207,0.0,8524.274038095931,761.0913880848552,344.88705649826306,11562.945915680906,2586.6701431179176,1565.26047175917,921.425662998936,9106.098743661032,75.72047792608079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7139.705608375783,0.0,0.0,478.3239441818995,148327.63084182705,1,365,2024-01,2023-01-06
6,3202.168949470849,0.006863506441828079,0.04561902068514098,0.0,22.191907563897654,0.0,8071.367031215084,691.6947479234861,325.60076702298466,14838.989125141892,1838.8992170647216,1518.8086023834726,914.6415760873155,9291.002608089779,60.8103668434552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29630.375800623784,0.0,573.9887330182796,147925.65127627528,1,365,2024-01,2023-01-07
7,3052.1280705446493,0.003076539266051741,0.035623228130699354,0.0,13.530663540459887,0.0,7803.984408075905,717.3112977963463,347.7925379057312,16984.711351663707,4051.7418702581163,1398.3419774063934,845.7173980237948,12221.60552875181,53.89822663977574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37071.77689515955,669.653521854661,147910.82317607306,1,365,2024-01,2023-01-08
8,2766.6621643590524,0.004524901943238591,0.04532815565442686,0.0,8.78819832246955,0.0,7405.430327802875,595.3933688597859,323.070240758937,12149.20088154622,1993.1478779165154,1338.2133061141012,783.5924470577893,8014.013053685805,1613.6345820329093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2660.6627712296213,0.0,0.0,0.0,0.0,0.0,0.0,765.3183106910401,148355.40251954878,1,365,2024-01,2023-01-09
9,2709.5007936769166,0.0024830437499468567,0.032558373184292624,0.0,5.955581510581259,0.0,7431.568503334186,571.5836716050306,312.5541540179517,9740.505748797363,1296.7801690090243,1252.8176535284565,755.3972988596187,7707.64215331639,1907.1233022707634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11986.990392933558,0.0,0.0,0.0,0.0,0.0,860.9830995274201,149215.67725518756,1,365,2024-01,2023-01-10
